District,Year,HDI
ACEH,2022,72.8
SIMEULUE,2022,67.27
ACEH SINGKIL,2022,69.62
ACEH SELATAN,2022,67.87
ACEH TENGGARA,2022,70.32
ACEH TIMUR,2022,68.72
ACEH TENGAH,2022,73.95
ACEH BARAT,2022,72.34
ACEH BESAR,2022,74
PIDIE,2022,71.2
BIREUEN,2022,73.16
ACEH UTARA,2022,70.22
ACEH BARAT DAYA,2022,67.41
GAYO LUES,2022,68.25
ACEH TAMIANG,2022,70.43
NAGAN RAYA,2022,70.1
ACEH JAYA,2022,70.36
BENER MERIAH,2022,73.9
PIDIE JAYA,2022,74.34
KOTA BANDA ACEH,2022,86.28
KOTA SABANG,2022,76.85
KOTA LANGSA,2022,77.82
KOTA LHOKSEUMAWE,2022,78.04
KOTA SUBULUSSALAM,2022,66.2
SUMATERA UTARA,2022,72.71
NIAS,2022,63.69
MANDAILING NATAL,2022,68.05
TAPANULI SELATAN,2022,70.92
TAPANULI TENGAH,2022,70.31
TAPANULI UTARA,2022,74.14
TOBA SAMOSIR / TOBA,2022,75.96
LABUHAN BATU,2022,72.92
ASAHAN,2022,71.13
SIMALUNGUN,2022,73.77
DAIRI,2022,72.56
KARO,2022,75.36
DELI SERDANG,2022,76.19
LANGKAT,2022,71.86
NIAS SELATAN,2022,63.17
HUMBANG HASUNDUTAN,2022,70.32
PAKPAK BHARAT,2022,68.85
SAMOSIR,2022,71.67
SERDANG BEDAGAI,2022,71.21
BATU BARA,2022,69.51
PADANG LAWAS UTARA,2022,70.93
PADANG LAWAS,2022,69.58
LABUHAN BATU SELATAN,2022,72.16
LABUHAN BATU UTARA,2022,72.77
NIAS UTARA,2022,63.75
NIAS BARAT,2022,62.93
KOTA SIBOLGA,2022,74.74
KOTA TANJUNG BALAI,2022,69.86
KOTA PEMATANG SIANTAR,2022,79.7
KOTA TEBING TINGGI,2022,76.17
KOTA MEDAN,2022,81.76
KOTA BINJAI,2022,76.95
KOTA PADANGSIDIMPUAN,2022,76.05
KOTA GUNUNGSITOLI,2022,70.23
SUMATERA BARAT,2022,73.26
KEPULAUAN MENTAWAI,2022,62.19
PESISIR SELATAN,2022,70.84
SOLOK,2022,70.02
SIJUNJUNG,2022,68.69
TANAH DATAR,2022,73.29
PADANG PARIAMAN,2022,71.63
AGAM,2022,73.29
LIMA PULUH KOTA,2022,70.28
PASAMAN,2022,67.41
SOLOK SELATAN,2022,69.71
DHARMASRAYA,2022,72.3
PASAMAN BARAT,2022,69.57
KOTA PADANG,2022,83.29
KOTA SOLOK,2022,79.23
KOTA SAWAH LUNTO,2022,73.73
KOTA PADANG PANJANG,2022,78.78
KOTA BUKITTINGGI,2022,81.42
KOTA PAYAKUMBUH,2022,79.53
KOTA PARIAMAN,2022,77.65
RIAU,2022,73.52
KUANTAN SINGINGI,2022,71.09
INDRAGIRI HULU,2022,70.46
INDRAGIRI HILIR,2022,67.37
PELALAWAN,2022,72.93
SIAK,2022,74.5
KAMPAR,2022,73.84
ROKAN HULU,2022,70.31
BENGKALIS,2022,74.38
ROKAN HILIR,2022,70.1
KEPULAUAN MERANTI,2022,66.52
KOTA PEKANBARU,2022,82.06
KOTA DUMAI,2022,75.26
JAMBI,2022,72.14
KERINCI,2022,71.99
MERANGIN,2022,69.98
SAROLANGUN,2022,70.89
BATANG HARI,2022,70.51
MUARO JAMBI,2022,70.18
TANJUNG JABUNG TIMUR,2022,65.77
TANJUNG JABUNG BARAT,2022,68.79
TEBO,2022,69.78
BUNGO,2022,70.55
KOTA JAMBI,2022,79.58
KOTA SUNGAI PENUH,2022,76.17
SUMATERA SELATAN,2022,70.9
OGAN KOMERING ULU,2022,70.24
OGAN KOMERING ILIR,2022,68.02
MUARA ENIM,2022,69.43
LAHAT,2022,68.4
MUSI RAWAS,2022,67.78
MUSI BANYUASIN,2022,68.6
BANYU ASIN,2022,67.93
OGAN KOMERING ULU SELATAN,2022,65.87
OGAN KOMERING ULU TIMUR,2022,70.23
OGAN ILIR,2022,67.96
EMPAT LAWANG,2022,66
PENUKAL ABAB LEMATANG ILIR,2022,65.75
MUSI RAWAS UTARA,2022,65.74
KOTA PALEMBANG,2022,79.47
KOTA PRABUMULIH,2022,75.52
KOTA PAGAR ALAM,2022,69.6
KOTA LUBUKLINGGAU,2022,75.53
BENGKULU,2022,72.16
BENGKULU SELATAN,2022,71.42
REJANG LEBONG,2022,71.45
BENGKULU UTARA,2022,69.77
KAUR,2022,67.77
SELUMA,2022,67.76
MUKOMUKO,2022,69.12
LEBONG,2022,68.12
KEPAHIANG,2022,69.09
BENGKULU TENGAH,2022,68.47
KOTA BENGKULU,2022,80.99
LAMPUNG,2022,70.45
LAMPUNG BARAT,2022,68.39
TANGGAMUS,2022,67.22
LAMPUNG SELATAN,2022,69
LAMPUNG TIMUR,2022,70.58
LAMPUNG TENGAH,2022,70.8
LAMPUNG UTARA,2022,68.33
WAY KANAN,2022,68.04
TULANGBAWANG,2022,69.53
PESAWARAN,2022,66.7
PRINGSEWU,2022,70.98
MESUJI,2022,64.94
TULANG BAWANG BARAT,2022,67.13
PESISIR BARAT,2022,65.14
KOTA BANDAR LAMPUNG,2022,78.01
KOTA METRO,2022,77.89
KEP. BANGKA BELITUNG,2022,72.24
BANGKA,2022,72.95
BELITUNG,2022,73.38
BANGKA BARAT,2022,70.12
BANGKA TENGAH,2022,71.4
BANGKA SELATAN,2022,67.95
BELITUNG TIMUR,2022,72.29
KOTA PANGKAL PINANG,2022,79.24
KEPULAUAN RIAU,2022,76.46
KARIMUN,2022,72.65
BINTAN,2022,74.99
NATUNA,2022,73.47
LINGGA,2022,66.57
KEPULAUAN ANAMBAS,2022,69.61
KOTA BATAM,2022,81.67
KOTA TANJUNG PINANG,2022,79.64
DKI JAKARTA,2022,81.65
KEPULAUAN SERIBU,2022,72.79
KOTA JAKARTA SELATAN,2022,85.21
KOTA JAKARTA TIMUR,2022,83.45
KOTA JAKARTA PUSAT,2022,82.11
KOTA JAKARTA BARAT,2022,82.51
KOTA JAKARTA UTARA,2022,80.81
JAWA BARAT,2022,73.12
BOGOR,2022,71.2
SUKABUMI,2022,67.64
CIANJUR,2022,65.94
BANDUNG,2022,73.16
GARUT,2022,67.41
TASIKMALAYA,2022,66.84
CIAMIS,2022,71.45
KUNINGAN,2022,70.16
CIREBON,2022,70.06
MAJALENGKA,2022,68.56
SUMEDANG,2022,72.69
INDRAMAYU,2022,68.55
SUBANG,2022,69.87
PURWAKARTA,2022,71.56
KARAWANG,2022,71.74
BEKASI,2022,75.22
BANDUNG BARAT,2022,69.04
PANGANDARAN,2022,69.03
KOTA BOGOR,2022,77.17
KOTA SUKABUMI,2022,75.4
KOTA BANDUNG,2022,82.5
KOTA CIREBON,2022,75.89
KOTA BEKASI,2022,82.46
KOTA DEPOK,2022,81.86
KOTA CIMAHI,2022,78.77
KOTA TASIKMALAYA,2022,73.83
KOTA BANJAR,2022,72.55
JAWA TENGAH,2022,72.79
CILACAP,2022,70.99
BANYUMAS,2022,73.17
PURBALINGGA,2022,69.54
BANJARNEGARA,2022,68.61
KEBUMEN,2022,70.79
PURWOREJO,2022,73.6
WONOSOBO,2022,68.89
MAGELANG,2022,70.85
BOYOLALI,2022,74.97
KLATEN,2022,76.95
SUKOHARJO,2022,77.94
WONOGIRI,2022,71.04
KARANGANYAR,2022,76.58
SRAGEN,2022,74.65
GROBOGAN,2022,70.97
BLORA,2022,69.95
REMBANG,2022,71
PATI,2022,73.14
KUDUS,2022,75.89
JEPARA,2022,73.15
DEMAK,2022,73.36
SEMARANG,2022,74.67
TEMANGGUNG,2022,70.77
KENDAL,2022,73.19
BATANG,2022,69.45
PEKALONGAN,2022,70.81
PEMALANG,2022,67.19
TEGAL,2022,69.53
BREBES,2022,67.03
KOTA MAGELANG,2022,80.39
KOTA SURAKARTA,2022,83.08
KOTA SALATIGA,2022,84.35
KOTA SEMARANG,2022,84.08
KOTA PEKALONGAN,2022,75.9
KOTA TEGAL,2022,76.15
D I YOGYAKARTA,2022,80.64
KULON PROGO,2022,75.46
BANTUL,2022,80.69
GUNUNG KIDUL,2022,70.96
SLEMAN,2022,84.31
KOTA YOGYAKARTA,2022,87.69
JAWA TIMUR,2022,72.75
PACITAN,2022,69.37
PONOROGO,2022,71.87
TRENGGALEK,2022,71
TULUNGAGUNG,2022,74.06
BLITAR,2022,71.86
KEDIRI,2022,73.46
MALANG,2022,71.38
LUMAJANG,2022,66.95
JEMBER,2022,67.97
BANYUWANGI,2022,71.94
BONDOWOSO,2022,67.31
SITUBONDO,2022,68.25
PROBOLINGGO,2022,66.96
PASURUAN,2022,69.68
SIDOARJO,2022,81.02
MOJOKERTO,2022,74.89
JOMBANG,2022,74.05
NGANJUK,2022,72.93
MADIUN,2022,72.39
MAGETAN,2022,74.85
NGAWI,2022,71.75
BOJONEGORO,2022,70.12
TUBAN,2022,69.67
LAMONGAN,2022,74.02
GRESIK,2022,77.16
BANGKALAN,2022,65.05
SAMPANG,2022,63.39
PAMEKASAN,2022,66.99
SUMENEP,2022,67.87
KOTA KEDIRI,2022,79.59
KOTA BLITAR,2022,79.93
KOTA MALANG,2022,82.71
KOTA PROBOLINGGO,2022,74.56
KOTA PASURUAN,2022,76.54
KOTA MOJOKERTO,2022,79.32
KOTA MADIUN,2022,82.01
KOTA SURABAYA,2022,82.74
KOTA BATU,2022,77.22
BANTEN,2022,73.32
PANDEGLANG,2022,65.84
LEBAK,2022,64.71
TANGERANG,2022,72.97
SERANG,2022,67.75
KOTA TANGERANG,2022,78.9
KOTA CILEGON,2022,73.95
KOTA SERANG,2022,72.98
KOTA TANGERANG SELATAN,2022,81.95
BALI,2022,76.44
JEMBRANA,2022,73.58
TABANAN,2022,76.75
BADUNG,2022,82.13
GIANYAR,2022,78.39
KLUNGKUNG,2022,72.55
BANGLI,2022,70.26
KARANGASEM,2022,68.28
BULELENG,2022,73.45
KOTA DENPASAR,2022,84.37
NUSA TENGGARA BARAT,2022,69.46
LOMBOK BARAT,2022,69.41
LOMBOK TENGAH,2022,67.57
LOMBOK TIMUR,2022,67.59
SUMBAWA,2022,68.89
DOMPU,2022,69.15
BIMA,2022,67.57
SUMBAWA BARAT,2022,72.65
LOMBOK UTARA,2022,65.7
KOTA MATARAM,2022,79.59
KOTA BIMA,2022,76.84
NUSA TENGGARA TIMUR,2022,65.9
SUMBA BARAT,2022,64.43
SUMBA TIMUR,2022,66.17
KUPANG,2022,65.04
TIMOR TENGAH SELATAN,2022,62.73
TIMOR TENGAH UTARA,2022,64.26
BELU,2022,63.22
ALOR,2022,62.26
LEMBATA,2022,65.47
FLORES TIMUR,2022,64.93
SIKKA,2022,66.06
ENDE,2022,67.97
NGADA,2022,68.26
MANGGARAI,2022,65.83
ROTE NDAO,2022,63.21
MANGGARAI BARAT,2022,64.92
SUMBA TENGAH,2022,62.71
SUMBA BARAT DAYA,2022,63.15
NAGEKEO,2022,66.22
MANGGARAI TIMUR,2022,62.3
SABU RAIJUA,2022,57.9
MALAKA,2022,61.34
KOTA KUPANG,2022,80.2
KALIMANTAN BARAT,2022,68.63
SAMBAS,2022,67.95
BENGKAYANG,2022,68.74
LANDAK,2022,67.17
MEMPAWAH,2022,66.94
SANGGAU,2022,66.91
KETAPANG,2022,67.92
SINTANG,2022,67.86
KAPUAS HULU,2022,66.7
SEKADAU,2022,65.58
MELAWI,2022,66.81
KAYONG UTARA,2022,63.81
KUBU RAYA,2022,68.91
KOTA PONTIANAK,2022,80.48
KOTA SINGKAWANG,2022,72.89
KALIMANTAN TENGAH,2022,71.63
KOTAWARINGIN BARAT,2022,73.41
KOTAWARINGIN TIMUR,2022,71.67
KAPUAS,2022,70.01
BARITO SELATAN,2022,71.01
BARITO UTARA,2022,71.21
SUKAMARA,2022,68.94
LAMANDAU,2022,71.11
SERUYAN,2022,68.24
KATINGAN,2022,69.74
PULANG PISAU,2022,69.01
GUNUNG MAS,2022,71.4
BARITO TIMUR,2022,72.07
MURUNG RAYA,2022,68.63
KOTA PALANGKA RAYA,2022,81.16
KALIMANTAN SELATAN,2022,71.84
TANAH LAUT,2022,70.35
KOTABARU,2022,69.74
BANJAR,2022,70.72
BARITO KUALA,2022,67.37
TAPIN,2022,71.02
HULU SUNGAI SELATAN,2022,69.76
HULU SUNGAI TENGAH,2022,69.7
HULU SUNGAI UTARA,2022,66.84
TABALONG,2022,73.13
TANAH BUMBU,2022,71.79
BALANGAN,2022,69.73
KOTA BANJARMASIN,2022,77.97
KOTA BANJAR BARU,2022,79.68
KALIMANTAN TIMUR,2022,77.44
PASER,2022,73.44
KUTAI BARAT,2022,72.92
KUTAI KARTANEGARA,2022,74.67
KUTAI TIMUR,2022,74.35
BERAU,2022,75.74
PENAJAM PASER UTARA,2022,72.55
MAHAKAM ULU,2022,68.75
KOTA BALIKPAPAN,2022,81.13
KOTA SAMARINDA,2022,81.43
KOTA BONTANG,2022,80.94
KALIMANTAN UTARA,2022,71.83
MALINAU,2022,72.75
BULUNGAN,2022,72.08
TANA TIDUNG,2022,68.6
NUNUKAN,2022,67.16
KOTA TARAKAN,2022,76.68
SULAWESI UTARA,2022,73.81
BOLAANG MONGONDOW,2022,68.95
MINAHASA,2022,76.18
KEPULAUAN SANGIHE,2022,71.63
KEPULAUAN TALAUD,2022,70.43
MINAHASA SELATAN,2022,72.89
MINAHASA UTARA,2022,74.69
BOLAANG MONGONDOW UTARA,2022,68.06
SIAU TAGULANDANG BIARO,2022,68.94
MINAHASA TENGGARA,2022,71.48
BOLAANG MONGONDOW SELATAN,2022,65.9
BOLAANG MONGONDOW TIMUR,2022,67.21
KOTA MANADO,2022,79.66
KOTA BITUNG,2022,74.7
KOTA TOMOHON,2022,77.44
KOTA KOTAMOBAGU,2022,73.96
SULAWESI TENGAH,2022,70.28
BANGGAI KEPULAUAN,2022,66.08
BANGGAI,2022,71.08
MOROWALI,2022,72.55
POSO,2022,71.93
DONGGALA,2022,66.25
TOLI-TOLI,2022,66.76
BUOL,2022,68.72
PARIGI MOUTONG,2022,66.26
TOJO UNA-UNA,2022,65.54
SIGI,2022,69.05
BANGGAI LAUT,2022,66.22
MOROWALI UTARA,2022,68.97
KOTA PALU,2022,82.02
SULAWESI SELATAN,2022,72.82
KEPULAUAN SELAYAR,2022,68.35
BULUKUMBA,2022,70.34
BANTAENG,2022,69.69
JENEPONTO,2022,65.13
TAKALAR,2022,68.31
GOWA,2022,70.99
SINJAI,2022,68.33
MAROS,2022,71
PANGKAJENE DAN KEPULAUAN,2022,69.79
BARRU,2022,71.53
BONE,2022,67.01
SOPPENG,2022,69.7
WAJO,2022,70.26
