District,Year,GDP
BANDUNG,2020,81060.97
BANDUNG BARAT,2020,30640.41
BANDUNG CITY,2020,193144.95
BANJAR CITY,2020,3251.76
BEKASI,2020,242971.39
BEKASI CITY,2020,67619.24
BOGOR,2020,154113.6
BOGOR CITY,2020,32162.74
CIAMIS,2020,21970.41
CIANJUR,2020,31792.32
CIMAHI CITY,2020,22340.56
CIREBON,2020,33304.05
CIREBON CITY,2020,16648.21
DEPOK CITY,2020,48135.93
GARUT,2020,38598.43
INDRAMAYU,2020,59200
JAWA BARAT PROVINCE,2020,1453380.72
KARAWANG,2020,157710.59
KUNINGAN,2020,16882.76
MAJALENGKA,2020,21754.54
PANGANDARAN,2020,7738.97
PURWAKARTA,2020,45293.24
SUBANG,2020,28344.32
SUKABUMI,2020,46205.28
SUKABUMI CITY,2020,8534.72
SUMEDANG,2020,23665.01
TASIKMALAYA,2020,24344.86
TASIKMALAYA CITY,2020,15430.02
BANDUNG,2022,83949.37
BANDUNG BARAT,2022,31701.79
BANDUNG CITY,2022,200414.03
BANJAR CITY,2022,3365.25
BEKASI,2022,251778.52
BEKASI CITY,2022,69796.94
BOGOR,2022,159589.55
BOGOR CITY,2022,33372.48
CIAMIS,2022,22774.93
CIANJUR,2022,32897.53
CIMAHI CITY,2022,23275.78
CIREBON,2022,34127.52
CIREBON CITY,2022,17155.75
DEPOK CITY,2022,49947.24
GARUT,2022,39981.19
INDRAMAYU,2022,59544.87
JAWA BARAT PROVINCE,2022,1507746.39
KARAWANG,2022,166941.49
KUNINGAN,2022,17483.56
MAJALENGKA,2022,22788.75
PANGANDARAN,2022,8022.78
PURWAKARTA,2022,46840.15
SUBANG,2022,28960.89
SUKABUMI,2022,47935.63
SUKABUMI CITY,2022,8851.05
SUMEDANG,2022,24414.66
TASIKMALAYA,2022,25179.48
TASIKMALAYA CITY,2022,15980.75
BANDUNG,2023_x,88437.96
BANDUNG BARAT,2023_x,33393.29
BANDUNG CITY,2023_x,211250.67
BANJAR CITY,2023_x,3516.57
BEKASI,2023_x,265120.49
BEKASI CITY,2023_x,73260.65
BOGOR,2023_x,167966.18
BOGOR CITY,2023_x,35258.87
CIAMIS,2023_x,23918.89
CIANJUR,2023_x,34556.4
CIMAHI CITY,2023_x,24652.73
CIREBON,2023_x,35523.78
CIREBON CITY,2023_x,18030.25
DEPOK CITY,2023_x,52564.98
GARUT,2023_x,42012.96
INDRAMAYU,2023_x,61259.61
JAWA BARAT PROVINCE,2023_x,1589984.93
KARAWANG,2023_x,177470.89
KUNINGAN,2023_x,18450.34
MAJALENGKA,2023_x,24298.1
PANGANDARAN,2023_x,8426.4
PURWAKARTA,2023_x,49292.98
SUBANG,2023_x,30202.58
SUKABUMI,2023_x,50388.72
SUKABUMI CITY,2023_x,9324.16
SUMEDANG,2023_x,25595.02
TASIKMALAYA,2023_x,26361.66
TASIKMALAYA CITY,2023_x,16781.04
BANDUNG,2023_y,92830.17
BANDUNG BARAT,2023_y,35062.19
BANDUNG CITY,2023_y,221969.13
BANJAR CITY,2023_y,3682.3
BEKASI,2023_y,279224.9
BEKASI CITY,2023_y,77241.79
BOGOR,2023_y,176683.58
BOGOR CITY,2023_y,37055.36
CIAMIS,2023_y,25111.71
CIANJUR,2023_y,36339.55
CIMAHI CITY,2023_y,25931.98
CIREBON,2023_y,37246.57
CIREBON CITY,2023_y,18934.4
DEPOK CITY,2023_y,55221.82
GARUT,2023_y,44087.22
INDRAMAYU,2023_y,67237.69
JAWA BARAT PROVINCE,2023_y,1669421.49
KARAWANG,2023_y,187051.65
KUNINGAN,2023_y,19418.73
MAJALENGKA,2023_y,25793.24
PANGANDARAN,2023_y,8869.86
PURWAKARTA,2023_y,51740.5
SUBANG,2023_y,31604.98
SUKABUMI,2023_y,52993.98
SUKABUMI CITY,2023_y,9801.88
SUMEDANG,2023_y,26876.86
TASIKMALAYA,2023_y,27599.16
TASIKMALAYA CITY,2023_y,17781.93
BANDUNG,2024,97509.91
BANDUNG BARAT,2024,36793.68
BANDUNG CITY,2024,233053.79
BANJAR CITY,2024,3883.98
BEKASI,2024,293664.79
BEKASI CITY,2024,81251.61
BOGOR,2024,185882.34
BOGOR CITY,2024,38964.67
CIAMIS,2024,26360.94
CIANJUR,2024,38208.18
CIMAHI CITY,2024,27296.93
CIREBON,2024,39418.27
CIREBON CITY,2024,19884.06
DEPOK CITY,2024,58241.86
GARUT,2024,46270.92
INDRAMAYU,2024,68701.96
JAWA BARAT PROVINCE,2024,1752071.2
KARAWANG,2024,194903.1
KUNINGAN,2024,20507.27
MAJALENGKA,2024,27438.93
PANGANDARAN,2024,9324.31
PURWAKARTA,2024,54142.29
SUBANG,2024,33126.46
SUKABUMI,2024,55723.92
SUKABUMI CITY,2024,10303.16
SUMEDANG,2024,27965.76
TASIKMALAYA,2024,28879.68
TASIKMALAYA CITY,2024,18709.87
