,District,Province,Population,Year,icer_healthcare_observed,icer_payer_observed,qaly_le_scaled_vaccine,qaly_le_scaled_nonvaccine,burden_non_vaccine,burden_vaccine,healthcare_cost_non_vaccine,healthcare_cost_vaccine,payer_cost_non_vaccine,payer_cost_vaccine
0,BANDUNG,Jawa Barat,3623790,2020,5408.3179405569435,5461.702270218421,134829.06066238275,195145.43103583148,382416,264217,26618814,352828922,16066984,345497041
1,BANDUNG,Jawa Barat,3665655,2021,5402.967419105882,5456.2989349342715,134962.5809532416,195338.68221316428,382416,264217,26618814,352828922,16066984,345497041
2,BANDUNG,Jawa Barat,3707523,2022,5402.965214263242,5456.296708328108,134962.63602878657,195338.76192699533,382416,264217,26618814,352828922,16066984,345497041
3,BANDUNG,Jawa Barat,3749391,2023,5404.945422426557,5458.296462695354,134913.18981005184,195267.19572590577,382416,264217,26618814,352828922,16066984,345497041
4,BANDUNG BARAT,Jawa Barat,1788336,2020,5497.285294016474,5551.547801066633,132647.0046010712,191987.2226456147,382416,264217,26618814,352828922,16066984,345497041
5,BANDUNG BARAT,Jawa Barat,1814963,2021,5492.371182246084,5546.585183168158,132765.68598384535,192158.9966643878,382416,264217,26618814,352828922,16066984,345497041
6,BANDUNG BARAT,Jawa Barat,1841589,2022,5493.521850633639,5547.7472095530065,132737.87699682981,192118.74720532348,382416,264217,26618814,352828922,16066984,345497041
7,BANDUNG BARAT,Jawa Barat,1868213,2023,5491.454124810128,5545.659073657785,132787.85748101238,192191.0866778472,382416,264217,26618814,352828922,16066984,345497041
8,BEKASI,Jawa Barat,3113017,2020,5397.30752129685,5450.583169505434,135104.10974574133,195543.52453039662,382416,264217,26618814,352828922,16066984,345497041
9,BEKASI,Jawa Barat,3158630,2021,5396.379327143828,5449.645813349882,135127.34807594633,195577.1586293225,382416,264217,26618814,352828922,16066984,345497041
10,BEKASI,Jawa Barat,3204245,2022,5400.7760063158075,5454.085891185348,135017.34321809697,195417.94261687252,382416,264217,26618814,352828922,16066984,345497041
11,BEKASI,Jawa Barat,3249856,2023,5402.7630756880235,5456.0925744869955,134967.68551079644,195346.07031688164,382416,264217,26618814,352828922,16066984,345497041
12,BOGOR,Jawa Barat,5427068,2020,5587.657976242123,5642.812532375445,130501.62175087421,188882.09338800664,382416,264217,26618814,352828922,16066984,345497041
13,BOGOR,Jawa Barat,5488387,2021,5581.653000791563,5636.74828311876,130642.02084676233,189085.30063390397,382416,264217,26618814,352828922,16066984,345497041
14,BOGOR,Jawa Barat,5549705,2022,5580.927501850976,5636.0156229359845,130659.00380303414,189109.88098999075,382416,264217,26618814,352828922,16066984,345497041
15,BOGOR,Jawa Barat,5611026,2023,5581.553066234986,5636.647362129919,130644.35991839139,189088.68609946338,382416,264217,26618814,352828922,16066984,345497041
16,CIAMIS,Jawa Barat,1229069,2020,5536.31655532719,5590.964331465412,131711.837717652,190633.7047640932,382416,264217,26618814,352828922,16066984,345497041
17,CIAMIS,Jawa Barat,1238404,2021,5530.502056879838,5585.092439368991,131850.31307993023,190834.127685731,382416,264217,26618814,352828922,16066984,345497041
18,CIAMIS,Jawa Barat,1247739,2022,5530.753188210549,5585.346049562428,131844.32623809305,190825.46260399622,382416,264217,26618814,352828922,16066984,345497041
19,CIAMIS,Jawa Barat,1257073,2023,5531.55982532204,5586.160648813338,131825.10010119106,190797.63557060697,382416,264217,26618814,352828922,16066984,345497041
20,CIANJUR,Jawa Barat,2477560,2020,5670.520721077314,5726.4931973358125,128594.61477292127,186121.97849235495,382416,264217,26618814,352828922,16066984,345497041
21,CIANJUR,Jawa Barat,2506623,2021,5664.20304517187,5720.113161026092,128738.04520661892,186329.57315829772,382416,264217,26618814,352828922,16066984,345497041
22,CIANJUR,Jawa Barat,2535689,2022,5665.534932100066,5721.458194720367,128707.78071762944,186285.76971770477,382416,264217,26618814,352828922,16066984,345497041
23,CIANJUR,Jawa Barat,2564751,2023,5670.649760186752,5726.623510162224,128591.68852367808,186117.74317270596,382416,264217,26618814,352828922,16066984,345497041
24,CIREBON,Jawa Barat,2270621,2020,5524.01192067165,5578.538240438401,132005.22340656785,191058.3378249627,382416,264217,26618814,352828922,16066984,345497041
25,CIREBON,Jawa Barat,2293264,2021,5518.242700699444,5572.712073751105,132143.2324091831,191258.08575890123,382416,264217,26618814,352828922,16066984,345497041
26,CIREBON,Jawa Barat,2315909,2022,5517.779156997688,5572.243954510325,132154.3336441854,191274.1531799669,382416,264217,26618814,352828922,16066984,345497041
27,CIREBON,Jawa Barat,2338554,2023,5517.115125393351,5571.5733683945,132170.23953924025,191297.1746467875,382416,264217,26618814,352828922,16066984,345497041
28,GARUT,Jawa Barat,2585607,2020,5568.878562794453,5623.847751423616,130941.70028424796,189519.04297931085,382416,264217,26618814,352828922,16066984,345497041
29,GARUT,Jawa Barat,2601936,2021,5563.720605342726,5618.63888089614,131063.09238256329,189694.74036408614,382416,264217,26618814,352828922,16066984,345497041
30,GARUT,Jawa Barat,2618265,2022,5565.392560996834,5620.327340060729,131023.71839843687,189637.75225583857,382416,264217,26618814,352828922,16066984,345497041
31,GARUT,Jawa Barat,2634592,2023,5569.936124928825,5624.915752523714,130916.8384221144,189483.05905434265,382416,264217,26618814,352828922,16066984,345497041
32,INDRAMAYU,Jawa Barat,1834434,2020,5551.774649855536,5606.575009481509,131345.10560650722,190102.91343800636,382416,264217,26618814,352828922,16066984,345497041
33,INDRAMAYU,Jawa Barat,1853376,2021,5544.359105463334,5599.08626786407,131520.77883452084,190357.17485341456,382416,264217,26618814,352828922,16066984,345497041
34,INDRAMAYU,Jawa Barat,1872316,2022,5542.251635587281,5596.957995611409,131570.79029154102,190429.55915461038,382416,264217,26618814,352828922,16066984,345497041
35,INDRAMAYU,Jawa Barat,1891256,2023,5539.957169798788,5594.640881650343,131625.2825317942,190508.42873702882,382416,264217,26618814,352828922,16066984,345497041
36,KARAWANG,Jawa Barat,2439085,2020,5511.761859586305,5566.167261665424,132298.6090954837,191482.9708858322,382416,264217,26618814,352828922,16066984,345497041
37,KARAWANG,Jawa Barat,2468573,2021,5506.798812892106,5561.155225817156,132417.84428035762,191655.54645249824,382416,264217,26618814,352828922,16066984,345497041
38,KARAWANG,Jawa Barat,2498066,2022,5506.381926571501,5560.734224502386,132427.86959073745,191670.0566293528,382416,264217,26618814,352828922,16066984,345497041
39,KARAWANG,Jawa Barat,2527555,2023,5506.519842573667,5560.8735018434,132424.5528093817,191665.2560713415,382416,264217,26618814,352828922,16066984,345497041
40,KEPULAUAN SERIBU,DKI Jakarta,2837,2020,5783.502300307616,5840.589993152416,126082.49981157946,182486.05790866006,382416,264217,26618814,352828922,16066984,345497041
41,KEPULAUAN SERIBU,DKI Jakarta,2904,2021,5773.3984365340775,5830.386396337945,126303.15328220479,182805.42167507057,382416,264217,26618814,352828922,16066984,345497041
42,KEPULAUAN SERIBU,DKI Jakarta,2970,2022,5778.518143173737,5835.556638487911,126191.2500093505,182643.45798335463,382416,264217,26618814,352828922,16066984,345497041
43,KEPULAUAN SERIBU,DKI Jakarta,3037,2023,5766.776275299817,5823.698869190976,126448.19096105707,183015.34259432208,382416,264217,26618814,352828922,16066984,345497041
44,KOTA BANDUNG,Jawa Barat,2444160,2020,5353.710530010122,5406.55584180345,136204.3060791757,197135.89850865718,382416,264217,26618814,352828922,16066984,345497041
45,KOTA BANDUNG,Jawa Barat,2447366,2021,5349.271530170372,5402.07302556211,136317.3328510359,197299.48830157635,382416,264217,26618814,352828922,16066984,345497041
46,KOTA BANDUNG,Jawa Barat,2450574,2022,5349.477665653812,5402.281195764057,136312.0800317767,197291.88561063237,382416,264217,26618814,352828922,16066984,345497041
47,KOTA BANDUNG,Jawa Barat,2453781,2023,5349.484228726284,5402.287823619188,136311.91279582997,197291.64356095289,382416,264217,26618814,352828922,16066984,345497041
48,KOTA BANJAR,Jawa Barat,200973,2020,5601.825865180335,5657.120269462749,130171.56285084387,188404.38119452843,382416,264217,26618814,352828922,16066984,345497041
49,KOTA BANJAR,Jawa Barat,203419,2021,5594.981853300827,5650.208701831082,130330.79405943121,188634.84518116066,382416,264217,26618814,352828922,16066984,345497041
50,KOTA BANJAR,Jawa Barat,205867,2022,5593.418037594385,5648.629450040054,130367.23212671193,188687.58397731243,382416,264217,26618814,352828922,16066984,345497041
51,KOTA BANJAR,Jawa Barat,208314,2023,5590.881567181344,5646.067942679444,130426.37711541298,188773.18773555988,382416,264217,26618814,352828922,16066984,345497041
52,KOTA BEKASI,Jawa Barat,2543676,2020,5301.608027851645,5353.939047182514,137542.8782848542,199073.2868488742,382416,264217,26618814,352828922,16066984,345497041
53,KOTA BEKASI,Jawa Barat,2562431,2021,5297.336855120174,5349.625714634322,137653.77729075195,199233.79701041535,382416,264217,26618814,352828922,16066984,345497041
54,KOTA BEKASI,Jawa Barat,2581194,2022,5297.740534017257,5350.0333781579675,137643.28830499676,199218.615730977,382416,264217,26618814,352828922,16066984,345497041
55,KOTA BEKASI,Jawa Barat,2599947,2023,5296.546991999214,5348.828054946352,137674.305314445,199263.50833534938,382416,264217,26618814,352828922,16066984,345497041
56,KOTA BOGOR,Jawa Barat,1043070,2020,5402.440132715009,5455.76644381416,134975.75350684067,195357.74756626625,382416,264217,26618814,352828922,16066984,345497041
