District,Year,Life Expectancy
ACEH,2022,70.18
SIMEULUE,2022,65.48
ACEH SINGKIL,2022,67.65
ACEH SELATAN,2022,64.64
ACEH TENGGARA,2022,68.48
ACEH TIMUR,2022,68.94
ACEH TENGAH,2022,69.05
ACEH BARAT,2022,68.19
ACEH BESAR,2022,69.99
PIDIE,2022,67.15
BIREUEN,2022,71.48
ACEH UTARA,2022,69.01
ACEH BARAT DAYA,2022,65.3
GAYO LUES,2022,65.77
ACEH TAMIANG,2022,69.87
NAGAN RAYA,2022,69.45
ACEH JAYA,2022,67.4
BENER MERIAH,2022,69.48
PIDIE JAYA,2022,70.41
KOTA BANDA ACEH,2022,71.79
KOTA SABANG,2022,70.79
KOTA LANGSA,2022,69.63
KOTA LHOKSEUMAWE,2022,71.87
KOTA SUBULUSSALAM,2022,64.3
SUMATERA UTARA,2022,69.61
NIAS,2022,70.06
MANDAILING NATAL,2022,63.05
TAPANULI SELATAN,2022,65.28
TAPANULI TENGAH,2022,67.58
TAPANULI UTARA,2022,69.16
TOBA SAMOSIR / TOBA,2022,70.76
LABUHAN BATU,2022,70.37
ASAHAN,2022,68.73
SIMALUNGUN,2022,71.78
DAIRI,2022,69.64
KARO,2022,72.03
DELI SERDANG,2022,72.07
LANGKAT,2022,69.39
NIAS SELATAN,2022,69.21
HUMBANG HASUNDUTAN,2022,70.02
PAKPAK BHARAT,2022,66.44
SAMOSIR,2022,71.82
SERDANG BEDAGAI,2022,69.21
BATU BARA,2022,67.55
PADANG LAWAS UTARA,2022,67.53
PADANG LAWAS,2022,67.43
LABUHAN BATU SELATAN,2022,69.16
LABUHAN BATU UTARA,2022,69.91
NIAS UTARA,2022,69.9
NIAS BARAT,2022,69.43
KOTA SIBOLGA,2022,69.77
KOTA TANJUNG BALAI,2022,63.87
KOTA PEMATANG SIANTAR,2022,74.25
KOTA TEBING TINGGI,2022,71.29
KOTA MEDAN,2022,73.58
KOTA BINJAI,2022,72.79
KOTA PADANGSIDIMPUAN,2022,69.84
KOTA GUNUNGSITOLI,2022,71.71
SUMATERA BARAT,2022,69.9
KEPULAUAN MENTAWAI,2022,64.93
PESISIR SELATAN,2022,71.25
SOLOK,2022,69.19
SIJUNJUNG,2022,66.7
TANAH DATAR,2022,70.49
PADANG PARIAMAN,2022,69.34
AGAM,2022,72.89
LIMA PULUH KOTA,2022,70.08
PASAMAN,2022,67.96
SOLOK SELATAN,2022,68.38
DHARMASRAYA,2022,71.9
PASAMAN BARAT,2022,68.25
KOTA PADANG,2022,73.93
KOTA SOLOK,2022,74.06
KOTA SAWAH LUNTO,2022,70.4
KOTA PADANG PANJANG,2022,73.02
KOTA BUKITTINGGI,2022,74.82
KOTA PAYAKUMBUH,2022,74.14
KOTA PARIAMAN,2022,70.67
RIAU,2022,71.95
KUANTAN SINGINGI,2022,68.87
INDRAGIRI HULU,2022,70.48
INDRAGIRI HILIR,2022,68.31
PELALAWAN,2022,71.53
SIAK,2022,71.37
KAMPAR,2022,71.12
ROKAN HULU,2022,70.51
BENGKALIS,2022,71.5
ROKAN HILIR,2022,70.69
KEPULAUAN MERANTI,2022,68.09
KOTA PEKANBARU,2022,72.7
KOTA DUMAI,2022,71.25
JAMBI,2022,71.5
KERINCI,2022,70.28
MERANGIN,2022,71.53
SAROLANGUN,2022,69.46
BATANG HARI,2022,70.93
MUARO JAMBI,2022,71.58
TANJUNG JABUNG TIMUR,2022,66.66
TANJUNG JABUNG BARAT,2022,68.43
TEBO,2022,70.26
BUNGO,2022,68.13
KOTA JAMBI,2022,72.99
KOTA SUNGAI PENUH,2022,72.53
SUMATERA SELATAN,2022,70.32
OGAN KOMERING ULU,2022,68.55
OGAN KOMERING ILIR,2022,69.01
MUARA ENIM,2022,69.38
LAHAT,2022,66.52
MUSI RAWAS,2022,68.62
MUSI BANYUASIN,2022,69.19
BANYU ASIN,2022,69.43
OGAN KOMERING ULU SELATAN,2022,67.36
OGAN KOMERING ULU TIMUR,2022,69.48
OGAN ILIR,2022,65.98
EMPAT LAWANG,2022,65.45
PENUKAL ABAB LEMATANG ILIR,2022,68.65
MUSI RAWAS UTARA,2022,66.08
KOTA PALEMBANG,2022,71.49
KOTA PRABUMULIH,2022,70.87
KOTA PAGAR ALAM,2022,67.29
KOTA LUBUKLINGGAU,2022,69.82
