,District,Province,Cases,Population,Year,nmb_healthcare_observed,nmb_payer_observed,burden_non_vaccine,burden_vaccine,qaly_le_scaled_vaccine,qaly_le_scaled_nonvaccine,healthcare_cost_non_vaccine,healthcare_cost_vaccine,payer_cost_non_vaccine,payer_cost_vaccine
0,BANDUNG,Jawa Barat,2295,3623790,2020,-4.49238390425866,-4.49182695650345,382416,264217,0.5102966904566427,0.5102961984745186,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
1,BANDUNG,Jawa Barat,2002,3665655,2021,-3.918846418122673,-3.9183605752442716,382416,264217,0.5108020337572586,0.510801541287928,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
2,BANDUNG,Jawa Barat,4191,3707523,2022,-8.203738930228235,-8.202721863543232,382416,264217,0.510802242205409,0.5108017497358774,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
3,BANDUNG,Jawa Barat,1005,3749391,2023,-1.9672530758160462,-1.9670091836618044,382416,264217,0.5106150997477522,0.5106146074586465,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
4,BANDUNG BARAT,Jawa Barat,966,1788336,2020,-1.890912078448487,-1.890677650765902,382416,264217,0.5020381148868969,0.5020376308669477,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
5,BANDUNG BARAT,Jawa Barat,309,1814963,2021,-0.6048569663994304,-0.6047819786624545,382416,264217,0.502487296365659,0.5024868119126497,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
6,BANDUNG BARAT,Jawa Barat,1241,1841589,2022,-2.4292151977801573,-2.428914033438452,382416,264217,0.5023820458064009,0.5023815614548646,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
7,BANDUNG BARAT,Jawa Barat,1322,1868213,2023,-2.587769931683112,-2.5874491103618107,382416,264217,0.5025712103347338,0.5025707258008221,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
8,BEKASI,Jawa Barat,317,3113017,2020,-0.6205166372140191,-0.6204397080469597,382416,264217,0.5113376873771989,0.5113371943914392,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
9,BEKASI,Jawa Barat,370,3158630,2021,-0.7242623203834337,-0.724172529242071,382416,264217,0.5114256390616286,0.5114251459910739,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
10,BEKASI,Jawa Barat,1003,3204245,2022,-1.9633381363636617,-1.9630947295669408,382416,264217,0.5110092962152207,0.5110088035460664,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
11,BEKASI,Jawa Barat,726,3249856,2023,-1.4211201293665654,-1.420943944586486,382416,264217,0.5108213533224449,0.5108208608344882,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
12,BOGOR,Jawa Barat,1256,5427068,2020,-2.4585774004420253,-2.4582725959189125,382416,264217,0.4939183389065587,0.4939178627149665,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
13,BOGOR,Jawa Barat,2220,5488387,2021,-4.345574680858662,-4.345035934010486,382416,264217,0.494449716887113,0.494449240183214,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
14,BOGOR,Jawa Barat,1953,5549705,2022,-3.8229312369854274,-3.822457285366288,382416,264217,0.49451399343355706,0.49451351666768845,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
15,BOGOR,Jawa Barat,1881,5611026,2023,-3.6819936819599333,-3.6815372032115463,382416,264217,0.49445856973015134,0.49445809301771726,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
16,CIAMIS,Jawa Barat,1457,1229069,2020,-2.8520279488288165,-2.8516743658748553,382416,264217,0.49849872535700585,0.49849824474941745,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
17,CIAMIS,Jawa Barat,466,1238404,2021,-0.9121791468715242,-0.9120660585691595,382416,264217,0.49902282245249263,0.49902234133961704,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
18,CIAMIS,Jawa Barat,702,1247739,2022,-1.3741411185686865,-1.3739707580788576,382416,264217,0.49900016364614336,0.49899968255511334,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
19,CIAMIS,Jawa Barat,232,1257073,2023,-0.4541321079009594,-0.45407580642853745,382416,264217,0.4989273971818281,0.4989269161609529,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
20,CIANJUR,Jawa Barat,605,2477560,2020,-1.1842670682004648,-1.184120247550399,382416,264217,0.486700760257369,0.48670029102431633,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
21,CIANJUR,Jawa Barat,436,2506623,2021,-0.8534552708317318,-0.85334946289218,382416,264217,0.48724361114772674,0.48724314139130614,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
22,CIANJUR,Jawa Barat,819,2535689,2022,-1.603164834024001,-1.602966080119201,382416,264217,0.4871290670836072,0.48712859743761966,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
23,CIANJUR,Jawa Barat,829,2564751,2023,-1.6227395035537047,-1.6225383228613002,382416,264217,0.4866896850833901,0.48668921586101516,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
24,CIREBON,Jawa Barat,841,2270621,2020,-1.6462288796009306,-1.6460247867634008,382416,264217,0.49960912207226577,0.49960864039413283,69.6069568218903,1335.3755511568143,42.01441362286097,1307.6260838628855
