38 Province,,,,,,
,[2010 Version] Gross Regional Domestic Product (Billion Rupiahs),,,,,
,Current Market Price,,,2010 Constant Market Price,,
,2022,2023,2024,2022,2023,2024
ACEH,209698.36,227018.2,243202.09,140971.72,146932.42,153780.44
SUMATERA UTARA,955193.09,1050995.41,1146919.75,573528.77,602235.95,632534.73
SUMATERA BARAT,285375.36,312769.38,332936.44,182628.34,191070.55,199407.38
RIAU,991615.38,1026472.05,1112481.62,529532.98,551828.49,571233.59
JAMBI,276936.85,293780.01,322975.53,161731.95,169277.62,176906.5
SUMATERA SELATAN,590079.43,629168.67,663961.72,343503.62,360967.45,379119.63
BENGKULU,90111.95,96583.09,103991.92,49916.06,52051.56,54454.65
LAMPUNG,414119.68,448850.64,483882.92,257534.19,269240.54,281557.2
KEP. BANGKA BELITUNG,95286.44,102526.77,107504.82,57804.21,60336.51,60802.64
KEP. RIAU,308739.72,331644.52,352436.43,190111.09,199912.83,209939.07
DKI JAKARTA,3188541.22,3443026.23,3679358.6,1953488.99,2050472.97,2151041.33
JAWA BARAT,2422782.32,2625225.72,2823338.73,1589984.93,1669421.49,1752071.2
JAWA TENGAH,1559140.36,1695621.56,1817776.96,1050278.09,1102473.58,1157025.94
DI YOGYAKARTA,165724.53,180696.04,193514.56,112901.32,118625.54,124590.45
JAWA TIMUR,2731423.63,2953546.98,3168295.58,1757874.9,1844808.68,1935810.15
BANTEN,747220.84,814122.03,873626.25,484129.42,507425.74,531735.25
BALI,245367.89,274358.18,298441.51,150830.77,159447.66,168186.03
NUSA TENGGARA BARAT,156942.67,166395.45,182265.19,102073.66,103906.22,109414.97
NUSA TENGGARA TIMUR,118722.45,128522.85,137282.48,72711.28,75234.57,78044.57
KALIMANTAN BARAT,255797.28,274468.58,300166.89,148368.94,154980.81,162574.47
KALIMANTAN TENGAH,199741.29,208783.35,222864.5,109094.72,113611.53,118682.32
KALIMANTAN SELATAN,251098.65,269192.02,286818.87,142339.22,149226.1,156756.94
KALIMANTAN TIMUR,921450.99,843571.25,858430.74,506158.91,537630.01,570824.01
KALIMANTAN UTARA,138674.96,147278.62,146793.48,66528.39,69816.76,73007.99
SULAWESI UTARA,157039.46,171969.42,187374.29,96768.15,102070.48,107575.01
SULAWESI TENGAH,323630.28,347139.01,376950.32,172624.82,193181.36,212281.54
SULAWESI SELATAN,605175.94,652648.09,696252.76,360912.82,377207.78,396141.74
SULAWESI TENGGARA,158800.27,176179.9,189481.75,102656.43,108152.98,113989.49
GORONTALO,47566.29,51366.74,54554.5,30282.21,31643.79,32949.62
SULAWESI BARAT,54028.35,58572.05,64214.88,33643.02,35402.56,37088.07
MALUKU,54078.63,58487.79,62646.24,33575.07,35322.9,37209.36
MALUKU UTARA,70902.61,85143.13,95787.67,40248.38,48494.74,55152.33
PAPUA BARAT,91302.02,61576.37,76177.48,62530.53,40965.89,49486.23
PAPUA BARAT DAYA,-,36104.57,37040.34,-,24009.13,24873.72
PAPUA,262519.79,81731.73,85914.33,172907.29,49549.83,51587.16
PAPUA SELATAN,-,31357.75,33382.85,-,18138.12,18963.85
PAPUA TENGAH,-,150377.18,174942.95,-,101066.1,105471.48
PAPUA PEGUNUNGAN,-,24433.99,26561.43,-,13172.5,13798.74
INDONESIA,19588459.9,20892348.5,22138964,11710223.2,12301475.1,12920281.7
