Areas of Jawa Barat,,,
,[Series 2010] GRDP at Constant Prices by District/City of Jawa Barat Province (Billion Rupiahs),,
,2020,2021,2022
Jawa Barat Province,1453380.72,1507746.39,1589984.93
Bogor,154113.6,159589.55,167966.18
Sukabumi,46205.28,47935.63,50388.72
Cianjur,31792.32,32897.53,34556.4
Bandung,81060.97,83949.37,88437.96
Garut,38598.43,39981.19,42012.96
Tasikmalaya,24344.86,25179.48,26361.66
Ciamis,21970.41,22774.93,23918.89
Kuningan,16882.76,17483.56,18450.34
Cirebon,33304.05,34127.52,35523.78
Majalengka,21754.54,22788.75,24298.1
Sumedang,23665.01,24414.66,25595.02
Indramayu,59200,59544.87,61259.61
Subang,28344.32,28960.89,30202.58
Purwakarta,45293.24,46840.15,49292.98
Karawang,157710.59,166941.49,177470.89
Bekasi,242971.39,251778.52,265120.49
Bandung Barat,30640.41,31701.79,33393.29
Pangandaran,7738.97,8022.78,8426.4
Bogor City,32162.74,33372.48,35258.87
Sukabumi City,8534.72,8851.05,9324.16
Bandung City,193144.95,200414.03,211250.67
Cirebon City,16648.21,17155.75,18030.25
Bekasi City,67619.24,69796.94,73260.65
Depok City,48135.93,49947.24,52564.98
Cimahi City,22340.56,23275.78,24652.73
Tasikmalaya City,15430.02,15980.75,16781.04
Banjar City,3251.76,3365.25,3516.57
