Province/Regency/City,,,
,[New Method] Life Expectancy at Birth (Year),,
,2019,2020,2021
ACEH,69.87,69.93,69.96
Simeulue,65.22,65.26,65.28
Aceh Singkil,67.36,67.39,67.43
Aceh Selatan,64.27,64.35,64.4
Aceh Tenggara,68.04,68.14,68.22
Aceh Timur,68.67,68.72,68.74
Aceh Tengah,68.82,68.85,68.86
Aceh Barat,67.93,67.98,67.99
Aceh Besar,69.77,69.78,69.79
Pidie,66.89,66.94,66.95
Bireuen,71.16,71.22,71.26
Aceh Utara,68.79,68.8,68.81
Aceh Barat Daya,64.91,65,65.06
Gayo Lues,65.38,65.47,65.53
Aceh Tamiang,69.52,69.58,69.63
Nagan Raya,69.14,69.22,69.24
Aceh Jaya,67.11,67.16,67.19
Bener Meriah,69.19,69.22,69.26
Pidie Jaya,70.06,70.14,70.18
Kota Banda Aceh,71.36,71.45,71.52
Kota Sabang,70.45,70.51,70.56
Kota Langsa,69.37,69.42,69.43
Kota Lhokseumawe,71.52,71.6,71.64
Kota Subulussalam,63.94,64.02,64.07
SUMATERA UTARA,68.95,69.1,69.23
Nias,69.68,69.75,69.78
Mandailing Natal,62.51,62.6,62.65
Tapanuli Selatan,64.82,64.91,64.97
Tapanuli Tengah,67.08,67.15,67.24
Tapanuli Utara,68.46,68.63,68.76
Toba Samosir / Toba,69.93,70.08,70.29
Labuhan Batu,69.86,69.93,69.95
Asahan,68.11,68.26,68.37
Simalungun,71.07,71.22,71.37
Dairi,68.79,69,69.19
Karo,71.27,71.4,71.58
Deli Serdang,71.61,71.73,71.77
Langkat,68.59,68.8,68.97
Nias Selatan,68.58,68.74,68.86
Humbang Hasundutan,69.06,69.27,69.51
Pakpak Bharat,65.59,65.74,65.96
Samosir,71.16,71.27,71.41
Serdang Bedagai,68.46,68.68,68.82
Batu Bara,66.75,66.96,67.13
Padang Lawas Utara,67.06,67.17,67.22
Padang Lawas,66.98,67.09,67.13
Labuhan Batu Selatan,68.64,68.71,68.81
Labuhan Batu Utara,69.37,69.46,69.56
Nias Utara,69.29,69.43,69.55
Nias Barat,68.82,68.96,69.08
Kota Sibolga,68.77,69.01,69.25
Kota Tanjung Balai,63.02,63.27,63.44
Kota Pematang Siantar,73.33,73.55,73.77
Kota Tebing Tinggi,70.76,70.87,70.95
Kota Medan,72.98,73.14,73.23
Kota Binjai,72.25,72.38,72.45
Kota Padangsidimpuan,69.15,69.41,69.5
Kota Gunungsitoli,71.02,71.19,71.32
SUMATERA BARAT,69.31,69.47,69.59
Kepulauan Mentawai,64.68,64.73,64.73
Pesisir Selatan,70.73,70.86,70.96
Solok,68.34,68.58,68.79
Sijunjung,66.02,66.21,66.36
Tanah Datar,69.73,69.94,70.12
