Province/Regency/City,,,
,[New Method] Human Development Index,,
,2022,2023,2024
ACEH,72.8,73.4,74.03
Simeulue,67.27,68.06,69.01
Aceh Singkil,69.62,70.14,70.75
Aceh Selatan,67.87,68.44,69.1
Aceh Tenggara,70.32,71.05,71.7
Aceh Timur,68.72,69.32,69.87
Aceh Tengah,73.95,74.6,75.41
Aceh Barat,72.34,72.88,73.69
Aceh Besar,74,74.53,75.13
Pidie,71.2,71.66,72.31
Bireuen,73.16,73.63,74.45
Aceh Utara,70.22,70.87,71.7
Aceh Barat Daya,67.41,68.07,68.75
Gayo Lues,68.25,68.93,69.83
Aceh Tamiang,70.43,71.35,72.32
Nagan Raya,70.1,70.78,71.72
Aceh Jaya,70.36,70.88,71.83
Bener Meriah,73.9,74.49,75.01
Pidie Jaya,74.34,74.8,75.16
Kota Banda Aceh,86.28,86.69,87.17
Kota Sabang,76.85,77.52,78.32
Kota Langsa,77.82,78.36,78.81
Kota Lhokseumawe,78.04,78.92,79.55
Kota Subulussalam,66.2,67.1,68.04
SUMATERA UTARA,72.71,73.37,74.02
Nias,63.69,64.56,65.55
Mandailing Natal,68.05,68.56,69.33
Tapanuli Selatan,70.92,71.55,72.14
Tapanuli Tengah,70.31,70.91,71.52
Tapanuli Utara,74.14,74.65,75.23
Toba Samosir / Toba,75.96,76.38,76.91
Labuhan Batu,72.92,73.69,74.18
Asahan,71.13,71.56,72.09
Simalungun,73.77,74.29,74.97
Dairi,72.56,73.27,73.92
Karo,75.36,75.98,76.55
Deli Serdang,76.19,76.52,76.92
Langkat,71.86,72.21,72.73
Nias Selatan,63.17,64.12,65.02
Humbang Hasundutan,70.32,70.75,71.59
Pakpak Bharat,68.85,69.58,70.36
Samosir,71.67,72.08,72.88
Serdang Bedagai,71.21,71.75,72.47
Batu Bara,69.51,70.31,70.83
Padang Lawas Utara,70.93,71.63,72.32
Padang Lawas,69.58,70.34,71.27
Labuhan Batu Selatan,72.16,72.82,73.67
Labuhan Batu Utara,72.77,73.63,74.4
Nias Utara,63.75,64.64,65.62
Nias Barat,62.93,63.7,64.67
Kota Sibolga,74.74,75.2,75.66
Kota Tanjung Balai,69.86,70.59,71.1
Kota Pematang Siantar,79.7,80.46,81.17
Kota Tebing Tinggi,76.17,76.98,77.45
Kota Medan,81.76,82.19,82.76
Kota Binjai,76.95,77.6,78.1
Kota Padangsidimpuan,76.05,76.44,76.96
Kota Gunungsitoli,70.23,70.68,71.41
SUMATERA BARAT,73.26,73.75,74.49
Kepulauan Mentawai,62.19,63.13,63.99
Pesisir Selatan,70.84,71.44,72.02
Solok,70.02,70.63,71.02
Sijunjung,68.69,69.65,70.23
Tanah Datar,73.29,73.98,74.9
Padang Pariaman,71.63,72.61,73.1
Agam,73.29,73.98,74.66
Lima Puluh Kota,70.28,70.7,71.14
Pasaman,67.41,68.13,68.89
Solok Selatan,69.71,70.58,71.5
Dharmasraya,72.3,73.04,74.06
Pasaman Barat,69.57,70.19,70.93
Kota Padang,83.29,83.58,83.99
Kota Solok,79.23,79.58,80
Kota Sawah Lunto,73.73,74.42,75.13
Kota Padang Panjang,78.78,79.26,80.17
Kota Bukittinggi,81.42,81.78,82.51
Kota Payakumbuh,79.53,79.97,80.61
Kota Pariaman,77.65,78.13,78.88
RIAU,73.52,74.04,74.79
Kuantan Singingi,71.09,71.67,72.33
Indragiri Hulu,70.46,71.04,71.48
Indragiri Hilir,67.37,67.98,68.38
Pelalawan,72.93,73.59,74.08
Siak,74.5,74.98,75.45
Kampar,73.84,74.24,74.85
Rokan Hulu,70.31,71.02,71.82
Bengkalis,74.38,74.97,75.28
Rokan Hilir,70.1,70.78,71.2
Kepulauan Meranti,66.52,67.28,67.92
Kota Pekanbaru,82.06,82.38,82.89
Kota Dumai,75.26,75.66,76.19
JAMBI,72.14,72.77,73.43
Kerinci,71.99,72.54,73.11
Merangin,69.98,70.81,71.66
Sarolangun,70.89,71.29,72.01
Batang Hari,70.51,71.02,71.67
Muaro Jambi,70.18,71.04,71.91
Tanjung Jabung Timur,65.77,66.65,67.54
Tanjung Jabung Barat,68.79,69.35,69.93
Tebo,69.78,70.63,71.32
Bungo,70.55,71.06,71.92
Kota Jambi,79.58,80.15,81.04
Kota Sungai Penuh,76.17,76.65,77.4
SUMATERA SELATAN,70.9,71.62,72.3
Ogan Komering Ulu,70.24,71.01,71.55
Ogan Komering Ilir,68.02,68.65,69.33
Muara Enim,69.43,70.24,71
Lahat,68.4,69.1,69.77
Musi Rawas,67.78,68.26,68.95
Musi Banyuasin,68.6,69.17,70.12
Banyu Asin,67.93,68.65,69.51
Ogan Komering Ulu Selatan,65.87,66.67,67.65
Ogan Komering Ulu Timur,70.23,70.96,71.55
Ogan Ilir,67.96,68.76,69.4
Empat Lawang,66,66.68,67.25
Penukal Abab Lematang Ilir,65.75,66.64,67.48
Musi Rawas Utara,65.74,66.6,67.4
Kota Palembang,79.47,80.02,80.57
Kota Prabumulih,75.52,76.46,77.08
Kota Pagar Alam,69.6,70.45,71.19
Kota Lubuklinggau,75.53,76.19,76.82
BENGKULU,72.16,72.78,73.39
Bengkulu Selatan,71.42,71.91,72.35
Rejang Lebong,71.45,72.31,72.92
Bengkulu Utara,69.77,70.28,71.11
Kaur,67.77,68.38,68.98
Seluma,67.76,68.27,68.97
Mukomuko,69.12,69.97,70.63
Lebong,68.12,68.71,69.27
Kepahiang,69.09,69.6,70.27
Bengkulu Tengah,68.47,68.99,69.84
Kota Bengkulu,80.99,81.45,82.04
LAMPUNG,70.45,71.15,71.81
Lampung Barat,68.39,69.11,69.84
Tanggamus,67.22,67.86,68.52
Lampung Selatan,69,69.63,70.28
Lampung Timur,70.58,71.21,71.84
Lampung Tengah,70.8,71.6,72.37
Lampung Utara,68.33,68.95,69.62
Way Kanan,68.04,68.63,69.31
Tulangbawang,69.53,70.02,70.66
Pesawaran,66.7,67.67,68.52
Pringsewu,70.98,71.61,72.29
Mesuji,64.94,65.64,66.46
Tulang Bawang Barat,67.13,67.81,68.46
Pesisir Barat,65.14,66,66.73
Kota Bandar Lampung,78.01,78.56,79.19
Kota Metro,77.89,78.36,78.93
KEP. BANGKA BELITUNG,72.24,72.85,73.33
Bangka,72.95,73.66,73.98
Belitung,73.38,74.02,74.47
Bangka Barat,70.12,70.45,70.67
Bangka Tengah,71.4,71.71,71.9
Bangka Selatan,67.95,68.51,68.86
Belitung Timur,72.29,72.86,73.19
Kota Pangkal Pinang,79.24,79.93,80.4
KEPULAUAN RIAU,76.46,77.11,77.97
