Regency/Municipality,,,,
,Total Area (sq. km),,,
,2022,2021,2019,2018
Jawa Barat Province,35377.76,35377.76,35377.76,35377.76
Bogor,2710.62,2710.62,2710.62,2710.62
Sukabumi,4145.7,4145.7,4145.7,4145.7
Cianjur,3840.16,3840.16,3840.16,3840.16
Bandung,1767.96,1767.96,1767.96,1767.96
Garut,3074.07,3074.07,3074.07,3074.07
Tasikmalaya,2551.19,2551.19,2551.19,2551.19
Ciamis,1414.71,1414.71,1414.71,1414.71
Kuningan,1110.56,1110.56,1110.56,1110.56
Cirebon,984.52,984.52,984.52,984.52
Majalengka,1204.24,1204.24,1204.24,1204.24
Sumedang,1518.33,1518.33,1518.33,1518.33
Indramayu,2040.11,2040.11,2040.11,2040.11
Subang,1893.95,1893.95,1893.95,1893.95
Purwakarta,825.74,825.74,825.74,825.74
Karawang,1652.2,1652.2,1652.2,1652.2
Bekasi,1224.88,1224.88,1224.88,1224.88
Bandung Barat,1305.77,1305.77,1305.77,1305.77
Pangandaran,1010,1010,1010,1010
Bogor Municipality,118.5,118.5,118.5,118.5
Sukabumi Municipality,48.25,48.25,48.25,48.25
Bandung Municipality,167.67,167.67,167.67,167.67
Cirebon Municipality,37.36,37.36,37.36,37.36
Bekasi Municipality,206.61,206.61,206.61,206.61
Depok Municipality,200.29,200.29,200.29,200.29
Cimahi Municipality,39.27,39.27,39.27,39.27
Tasikmalaya Municipality,171.61,171.61,171.61,171.61
Banjar Municipality,113.49,113.49,113.49,113.49
