"District","Time","Age","Cases","Population"
"BANDUNG",2020,"0-4",332,313554
"BANDUNG",2020,"15-44",950,1772345
"BANDUNG",2020,"45-99",312,892491
"BANDUNG",2020,"5-14",701,645400
"BANDUNG",2021,"0-4",470,311231
"BANDUNG",2021,"15-44",664,1786584
"BANDUNG",2021,"45-99",165,922343
"BANDUNG",2021,"5-14",703,645497
"BANDUNG",2022,"0-4",814,308908
"BANDUNG",2022,"15-44",1469,1800824
"BANDUNG",2022,"45-99",452,952197
"BANDUNG",2022,"5-14",1456,645594
"BANDUNG",2023,"0-4",186,306585
"BANDUNG",2023,"15-44",318,1815065
"BANDUNG",2023,"45-99",118,982049
"BANDUNG",2023,"5-14",383,645692
"BANDUNG BARAT",2020,"0-4",148,147494
"BANDUNG BARAT",2020,"15-44",394,869881
"BANDUNG BARAT",2020,"45-99",167,470293
"BANDUNG BARAT",2020,"5-14",257,300668
"BANDUNG BARAT",2021,"0-4",42,146780
"BANDUNG BARAT",2021,"15-44",148,882274
"BANDUNG BARAT",2021,"45-99",29,486080
"BANDUNG BARAT",2021,"5-14",90,299829
"BANDUNG BARAT",2022,"0-4",174,146067
"BANDUNG BARAT",2022,"15-44",552,894664
"BANDUNG BARAT",2022,"45-99",187,501867
"BANDUNG BARAT",2022,"5-14",328,298991
"BANDUNG BARAT",2023,"0-4",158,145353
"BANDUNG BARAT",2023,"15-44",617,907056
"BANDUNG BARAT",2023,"45-99",234,517653
"BANDUNG BARAT",2023,"5-14",313,298151
"BEKASI",2020,"0-4",21,269390
"BEKASI",2020,"15-44",185,1628097
"BEKASI",2020,"45-99",34,696729
"BEKASI",2020,"5-14",77,518801
"BEKASI",2021,"0-4",21,267330
"BEKASI",2021,"15-44",191,1640285
"BEKASI",2021,"45-99",50,728055
"BEKASI",2021,"5-14",108,522960
"BEKASI",2022,"0-4",73,265269
"BEKASI",2022,"15-44",547,1652475
"BEKASI",2022,"45-99",118,759383
"BEKASI",2022,"5-14",265,527118
"BEKASI",2023,"0-4",65,263209
"BEKASI",2023,"15-44",369,1664664
"BEKASI",2023,"45-99",101,790707
"BEKASI",2023,"5-14",191,531276
"BOGOR",2020,"0-4",139,456116
"BOGOR",2020,"15-44",584,2793951
"BOGOR",2020,"45-99",168,1255140
"BOGOR",2020,"5-14",365,921861
"BOGOR",2021,"0-4",387,450487
